Series ID,Year,Period,Label,Value
CUUR0000SA0,1933,M06,1933 Jun,12.7
CUUR0000SA0,1933,M07,1933 Jul,13.1
CUUR0000SA0,1933,M08,1933 Aug,13.2
CUUR0000SA0,1933,M09,1933 Sep,13.2
CUUR0000SA0,1933,M10,1933 Oct,13.2
CUUR0000SA0,1933,M11,1933 Nov,13.2
CUUR0000SA0,1933,M12,1933 Dec,13.2
CUUR0000SA0,1934,M01,1934 Jan,13.2
CUUR0000SA0,1934,M02,1934 Feb,13.3
CUUR0000SA0,1934,M03,1934 Mar,13.3
CUUR0000SA0,1934,M04,1934 Apr,13.3
CUUR0000SA0,1934,M05,1934 May,13.3
CUUR0000SA0,1934,M06,1934 Jun,13.4
CUUR0000SA0,1934,M07,1934 Jul,13.4
CUUR0000SA0,1934,M08,1934 Aug,13.4
CUUR0000SA0,1934,M09,1934 Sep,13.6
CUUR0000SA0,1934,M10,1934 Oct,13.5
CUUR0000SA0,1934,M11,1934 Nov,13.5
CUUR0000SA0,1934,M12,1934 Dec,13.4
CUUR0000SA0,1935,M01,1935 Jan,13.6
CUUR0000SA0,1935,M02,1935 Feb,13.7
CUUR0000SA0,1935,M03,1935 Mar,13.7
CUUR0000SA0,1935,M04,1935 Apr,13.8
CUUR0000SA0,1935,M05,1935 May,13.8
CUUR0000SA0,1935,M06,1935 Jun,13.7
CUUR0000SA0,1935,M07,1935 Jul,13.7
CUUR0000SA0,1935,M08,1935 Aug,13.7
CUUR0000SA0,1935,M09,1935 Sep,13.7
CUUR0000SA0,1935,M10,1935 Oct,13.7
CUUR0000SA0,1935,M11,1935 Nov,13.8
CUUR0000SA0,1935,M12,1935 Dec,13.8
CUUR0000SA0,1936,M01,1936 Jan,13.8
CUUR0000SA0,1936,M02,1936 Feb,13.8
CUUR0000SA0,1936,M03,1936 Mar,13.7
CUUR0000SA0,1936,M04,1936 Apr,13.7
CUUR0000SA0,1936,M05,1936 May,13.7
CUUR0000SA0,1936,M06,1936 Jun,13.8
CUUR0000SA0,1936,M07,1936 Jul,13.9
CUUR0000SA0,1936,M08,1936 Aug,14.0
CUUR0000SA0,1936,M09,1936 Sep,14.0
CUUR0000SA0,1936,M10,1936 Oct,14.0
CUUR0000SA0,1936,M11,1936 Nov,14.0
CUUR0000SA0,1936,M12,1936 Dec,14.0
CUUR0000SA0,1937,M01,1937 Jan,14.1
CUUR0000SA0,1937,M02,1937 Feb,14.1
CUUR0000SA0,1937,M03,1937 Mar,14.2
CUUR0000SA0,1937,M04,1937 Apr,14.3
CUUR0000SA0,1937,M05,1937 May,14.4
CUUR0000SA0,1937,M06,1937 Jun,14.4
CUUR0000SA0,1937,M07,1937 Jul,14.5
CUUR0000SA0,1937,M08,1937 Aug,14.5
CUUR0000SA0,1937,M09,1937 Sep,14.6
CUUR0000SA0,1937,M10,1937 Oct,14.6
CUUR0000SA0,1937,M11,1937 Nov,14.5
CUUR0000SA0,1937,M12,1937 Dec,14.4
CUUR0000SA0,1938,M01,1938 Jan,14.2
CUUR0000SA0,1938,M02,1938 Feb,14.1
CUUR0000SA0,1938,M03,1938 Mar,14.1
CUUR0000SA0,1938,M04,1938 Apr,14.2
CUUR0000SA0,1938,M05,1938 May,14.1
CUUR0000SA0,1938,M06,1938 Jun,14.1
CUUR0000SA0,1938,M07,1938 Jul,14.1
CUUR0000SA0,1938,M08,1938 Aug,14.1
CUUR0000SA0,1938,M09,1938 Sep,14.1
CUUR0000SA0,1938,M10,1938 Oct,14.0
CUUR0000SA0,1938,M11,1938 Nov,14.0
CUUR0000SA0,1938,M12,1938 Dec,14.0
CUUR0000SA0,1939,M01,1939 Jan,14.0
CUUR0000SA0,1939,M02,1939 Feb,13.9
CUUR0000SA0,1939,M03,1939 Mar,13.9
CUUR0000SA0,1939,M04,1939 Apr,13.8
CUUR0000SA0,1939,M05,1939 May,13.8
CUUR0000SA0,1939,M06,1939 Jun,13.8
CUUR0000SA0,1939,M07,1939 Jul,13.8
CUUR0000SA0,1939,M08,1939 Aug,13.8
CUUR0000SA0,1939,M09,1939 Sep,14.1
CUUR0000SA0,1939,M10,1939 Oct,14.0
CUUR0000SA0,1939,M11,1939 Nov,14.0
CUUR0000SA0,1939,M12,1939 Dec,14.0
CUUR0000SA0,1940,M01,1940 Jan,13.9
CUUR0000SA0,1940,M02,1940 Feb,14.0
CUUR0000SA0,1940,M03,1940 Mar,14.0
CUUR0000SA0,1940,M04,1940 Apr,14.0
CUUR0000SA0,1940,M05,1940 May,14.0
CUUR0000SA0,1940,M06,1940 Jun,14.1
CUUR0000SA0,1940,M07,1940 Jul,14.0
CUUR0000SA0,1940,M08,1940 Aug,14.0
CUUR0000SA0,1940,M09,1940 Sep,14.0
CUUR0000SA0,1940,M10,1940 Oct,14.0
CUUR0000SA0,1940,M11,1940 Nov,14.0
CUUR0000SA0,1940,M12,1940 Dec,14.1
CUUR0000SA0,1941,M01,1941 Jan,14.1
CUUR0000SA0,1941,M02,1941 Feb,14.1
CUUR0000SA0,1941,M03,1941 Mar,14.2
CUUR0000SA0,1941,M04,1941 Apr,14.3
CUUR0000SA0,1941,M05,1941 May,14.4
CUUR0000SA0,1941,M06,1941 Jun,14.7
CUUR0000SA0,1941,M07,1941 Jul,14.7
CUUR0000SA0,1941,M08,1941 Aug,14.9
CUUR0000SA0,1941,M09,1941 Sep,15.1
CUUR0000SA0,1941,M10,1941 Oct,15.3
CUUR0000SA0,1941,M11,1941 Nov,15.4
CUUR0000SA0,1941,M12,1941 Dec,15.5
CUUR0000SA0,1942,M01,1942 Jan,15.7
CUUR0000SA0,1942,M02,1942 Feb,15.8
CUUR0000SA0,1942,M03,1942 Mar,16.0
CUUR0000SA0,1942,M04,1942 Apr,16.1
CUUR0000SA0,1942,M05,1942 May,16.3
CUUR0000SA0,1942,M06,1942 Jun,16.3
CUUR0000SA0,1942,M07,1942 Jul,16.4
CUUR0000SA0,1942,M08,1942 Aug,16.5
CUUR0000SA0,1942,M09,1942 Sep,16.5
CUUR0000SA0,1942,M10,1942 Oct,16.7
CUUR0000SA0,1942,M11,1942 Nov,16.8
CUUR0000SA0,1942,M12,1942 Dec,16.9
CUUR0000SA0,1943,M01,1943 Jan,16.9
CUUR0000SA0,1943,M02,1943 Feb,16.9
CUUR0000SA0,1943,M03,1943 Mar,17.2
CUUR0000SA0,1943,M04,1943 Apr,17.4
CUUR0000SA0,1943,M05,1943 May,17.5
CUUR0000SA0,1943,M06,1943 Jun,17.5
CUUR0000SA0,1943,M07,1943 Jul,17.4
CUUR0000SA0,1943,M08,1943 Aug,17.3
CUUR0000SA0,1943,M09,1943 Sep,17.4
CUUR0000SA0,1943,M10,1943 Oct,17.4
CUUR0000SA0,1943,M11,1943 Nov,17.4
CUUR0000SA0,1943,M12,1943 Dec,17.4
CUUR0000SA0,1944,M01,1944 Jan,17.4
CUUR0000SA0,1944,M02,1944 Feb,17.4
CUUR0000SA0,1944,M03,1944 Mar,17.4
CUUR0000SA0,1944,M04,1944 Apr,17.5
CUUR0000SA0,1944,M05,1944 May,17.5
CUUR0000SA0,1944,M06,1944 Jun,17.6
CUUR0000SA0,1944,M07,1944 Jul,17.7
CUUR0000SA0,1944,M08,1944 Aug,17.7
CUUR0000SA0,1944,M09,1944 Sep,17.7
CUUR0000SA0,1944,M10,1944 Oct,17.7
CUUR0000SA0,1944,M11,1944 Nov,17.7
CUUR0000SA0,1944,M12,1944 Dec,17.8
CUUR0000SA0,1945,M01,1945 Jan,17.8
CUUR0000SA0,1945,M02,1945 Feb,17.8
CUUR0000SA0,1945,M03,1945 Mar,17.8
CUUR0000SA0,1945,M04,1945 Apr,17.8
CUUR0000SA0,1945,M05,1945 May,17.9
CUUR0000SA0,1945,M06,1945 Jun,18.1
CUUR0000SA0,1945,M07,1945 Jul,18.1
CUUR0000SA0,1945,M08,1945 Aug,18.1
CUUR0000SA0,1945,M09,1945 Sep,18.1
CUUR0000SA0,1945,M10,1945 Oct,18.1
CUUR0000SA0,1945,M11,1945 Nov,18.1
CUUR0000SA0,1945,M12,1945 Dec,18.2
CUUR0000SA0,1946,M01,1946 Jan,18.2
CUUR0000SA0,1946,M02,1946 Feb,18.1
CUUR0000SA0,1946,M03,1946 Mar,18.3
CUUR0000SA0,1946,M04,1946 Apr,18.4
CUUR0000SA0,1946,M05,1946 May,18.5
CUUR0000SA0,1946,M06,1946 Jun,18.7
CUUR0000SA0,1946,M07,1946 Jul,19.8
CUUR0000SA0,1946,M08,1946 Aug,20.2
CUUR0000SA0,1946,M09,1946 Sep,20.4
CUUR0000SA0,1946,M10,1946 Oct,20.8
CUUR0000SA0,1946,M11,1946 Nov,21.3
CUUR0000SA0,1946,M12,1946 Dec,21.5
CUUR0000SA0,1947,M01,1947 Jan,21.5
CUUR0000SA0,1947,M02,1947 Feb,21.5
CUUR0000SA0,1947,M03,1947 Mar,21.9
CUUR0000SA0,1947,M04,1947 Apr,21.9
CUUR0000SA0,1947,M05,1947 May,21.9
CUUR0000SA0,1947,M06,1947 Jun,22.0
CUUR0000SA0,1947,M07,1947 Jul,22.2
CUUR0000SA0,1947,M08,1947 Aug,22.5
CUUR0000SA0,1947,M09,1947 Sep,23.0
CUUR0000SA0,1947,M10,1947 Oct,23.0
CUUR0000SA0,1947,M11,1947 Nov,23.1
CUUR0000SA0,1947,M12,1947 Dec,23.4
CUUR0000SA0,1948,M01,1948 Jan,23.7
CUUR0000SA0,1948,M02,1948 Feb,23.5
CUUR0000SA0,1948,M03,1948 Mar,23.4
CUUR0000SA0,1948,M04,1948 Apr,23.8
CUUR0000SA0,1948,M05,1948 May,23.9
CUUR0000SA0,1948,M06,1948 Jun,24.1
CUUR0000SA0,1948,M07,1948 Jul,24.4
CUUR0000SA0,1948,M08,1948 Aug,24.5
CUUR0000SA0,1948,M09,1948 Sep,24.5
CUUR0000SA0,1948,M10,1948 Oct,24.4
CUUR0000SA0,1948,M11,1948 Nov,24.2
CUUR0000SA0,1948,M12,1948 Dec,24.1
